[4/3/22 06:58AM] Quiet used command ::claimdonation | Player rights = PLAYER	
[4/7/22 08:32PM] Quiet used command ::staffzone | Player rights = DEVELOPER	
[4/7/22 08:36PM] Quiet used command ::customevent | Player rights = DEVELOPER	
[4/8/22 11:59PM] Quiet used command ::tele 2017 4433 | Player rights = DEVELOPER	
[4/9/22 12:04AM] Quiet used command ::global | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::id aura | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::id aura ( | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23044 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23045 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23046 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23046 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23047 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23048 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::item 23048 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::Item 23049 | Player rights = DEVELOPER	
[4/9/22 12:10AM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 12:23AM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 12:23AM] Quiet used command ::tele 2078 4437 | Player rights = DEVELOPER	
[4/9/22 12:46AM] Quiet used command ::tele 2077 4430 | Player rights = DEVELOPER	
[4/9/22 12:46AM] Quiet used command ::tele 2078 4430 | Player rights = DEVELOPER	
[4/9/22 12:50AM] Quiet used command ::item 12630 | Player rights = DEVELOPER	
[4/9/22 12:53AM] Quiet used command ::item 15450 | Player rights = DEVELOPER	
[4/9/22 12:53AM] Quiet used command ::master | Player rights = DEVELOPER	
[4/9/22 01:01AM] Quiet used command ::item 23045 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::tele 2077 4444 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::tele 2076 4460 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::tele 2081 4466 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::tele 2079 4465 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::tele 2076 4465 | Player rights = DEVELOPER	
[4/9/22 01:06AM] Quiet used command ::home | Player rights = DEVELOPER	
[4/9/22 01:09AM] Quiet used command ::tele 2081 4466 | Player rights = DEVELOPER	
[4/9/22 01:09AM] Quiet used command ::item 995 1000000 | Player rights = DEVELOPER	
[4/9/22 01:13AM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 01:13AM] Quiet used command ::id box of w | Player rights = DEVELOPER	
[4/9/22 01:13AM] Quiet used command ::item 15002 | Player rights = DEVELOPER	
[4/9/22 01:14AM] Quiet used command ::pnpc 9014 | Player rights = DEVELOPER	
[4/9/22 01:14AM] Quiet used command ::pnpc 9017 | Player rights = DEVELOPER	
[4/9/22 01:14AM] Quiet used command ::pnpc 3305 | Player rights = DEVELOPER	
[4/9/22 01:14AM] Quiet used command ::pnpc 9014 | Player rights = DEVELOPER	
[4/9/22 01:18AM] Quiet used command ::pnpc 9014 | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::npc 9014 | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::god | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::home | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::tele 2079 4454 | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::tele 2079 4446 | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::tele 2079 4438 | Player rights = DEVELOPER	
[4/9/22 01:19AM] Quiet used command ::tele 2078 4430 | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::event | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::staffzone | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::tele 2015 4447 | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::tele 2008 4449 | Player rights = DEVELOPER	
[4/9/22 01:23AM] Quiet used command ::tele 1998 4450 | Player rights = DEVELOPER	
[4/9/22 01:24AM] Quiet used command ::tele 2015 4445 | Player rights = DEVELOPER	
[4/9/22 01:24AM] Quiet used command ::tele 2015 4441 | Player rights = DEVELOPER	
[4/9/22 01:24AM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 01:25AM] Quiet used command ::home | Player rights = DEVELOPER	
[4/9/22 01:26AM] Quiet used command ::tele 2081 4449 | Player rights = DEVELOPER	
[4/9/22 01:26AM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 01:28AM] Quiet used command ::staffzone | Player rights = DEVELOPER	
[4/9/22 01:28AM] Quiet used command ::tele 2016 4442 | Player rights = DEVELOPER	
[4/9/22 01:28AM] Quiet used command ::tele 2016 4441 | Player rights = DEVELOPER	
[4/9/22 01:28AM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 01:29AM] Quiet used command ::global | Player rights = DEVELOPER	
[4/9/22 01:30AM] Quiet used command ::bronze | Player rights = DEVELOPER	
[4/9/22 01:31AM] Quiet used command ::silver | Player rights = DEVELOPER	
[4/9/22 01:31AM] Quiet used command ::visionary | Player rights = DEVELOPER	
[4/9/22 01:31AM] Quiet used command ::vision | Player rights = DEVELOPER	
[4/9/22 01:31AM] Quiet used command ::tele 2554 2786 | Player rights = DEVELOPER	
[4/9/22 01:31AM] Quiet used command ::tele 2540 2787 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2533 2790 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2798 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2521 2794 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2516 2788 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2507 2786 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2524 2782 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2528 2774 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2770 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2529 2761 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2768 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2529 2775 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2528 2783 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2786 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2529 2787 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2787 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2529 2786 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2784 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::tele 2530 2788 | Player rights = DEVELOPER	
[4/9/22 01:32AM] Quiet used command ::forge | Player rights = DEVELOPER	
[4/9/22 01:40AM] Quiet used command ::interface 122100 | Player rights = DEVELOPER	
[4/9/22 01:40AM] Quiet used command ::interface 12200 | Player rights = DEVELOPER	
[4/9/22 01:40AM] Quiet used command ::interface 122000 | Player rights = DEVELOPER	
[4/9/22 01:40AM] Quiet used command ::interface 121000 | Player rights = DEVELOPER	
[4/9/22 01:41AM] Quiet used command ::item 22016 | Player rights = DEVELOPER	
[4/9/22 01:41AM] Quiet used command ::item 22014 | Player rights = DEVELOPER	
[4/9/22 01:41AM] Quiet used command ::item 22019 | Player rights = DEVELOPER	
[4/9/22 01:46AM] Quiet used command ::item 22016 100000 | Player rights = DEVELOPER	
[4/9/22 01:49AM] Quiet used command ::item 22016 10 | Player rights = DEVELOPER	
[4/9/22 01:49AM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 02:15AM] Quiet used command ::vote | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2076 4450 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2082 4450 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2073 4450 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2070 4452 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2068 4459 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2080 4452 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2087 4448 | Player rights = DEVELOPER	
[4/9/22 02:23AM] Quiet used command ::tele 2085 4453 | Player rights = DEVELOPER	
[4/9/22 11:17AM] Quiet used command ::id prayer s | Player rights = DEVELOPER	
[4/9/22 11:19AM] Quiet used command ::Item 19886 | Player rights = DEVELOPER	
[4/9/22 11:19AM] Quiet used command ::item 9084 | Player rights = DEVELOPER	
[4/9/22 11:19AM] Quiet used command ::item 23097 | Player rights = DEVELOPER	
[4/9/22 11:20AM] Quiet used command ::item 23087 | Player rights = DEVELOPER	
[4/9/22 11:23AM] Quiet used command ::item 22095 | Player rights = DEVELOPER	
[4/9/22 11:23AM] Quiet used command ::item 22096 | Player rights = DEVELOPER	
[4/9/22 11:23AM] Quiet used command ::Item 22097 | Player rights = DEVELOPER	
[4/9/22 11:23AM] Quiet used command ::item 22099 | Player rights = DEVELOPER	
[4/9/22 11:24AM] Quiet used command ::item 22094 | Player rights = DEVELOPER	
[4/9/22 11:39AM] Quiet used command ::item 17646 | Player rights = DEVELOPER	
[4/9/22 11:39AM] Quiet used command ::id morningstar | Player rights = DEVELOPER	
[4/9/22 11:41AM] Quiet used command ::item 6629 | Player rights = DEVELOPER	
[4/9/22 11:41AM] Quiet used command ::item 12860 | Player rights = DEVELOPER	
[4/9/22 11:45AM] Quiet used command ::id morningstar | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::id morningstar | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 22104 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 16751 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 1765 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 17651 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 17650 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 176 48 | Player rights = DEVELOPER	
[4/9/22 11:47AM] Quiet used command ::item 17648 | Player rights = DEVELOPER	
[4/9/22 11:48AM] Quiet used command ::item 22103 | Player rights = DEVELOPER	
[4/9/22 11:48AM] Quiet used command ::kill quiet | Player rights = DEVELOPER	
[4/9/22 11:50AM] Quiet used command ::Bank | Player rights = DEVELOPER	
[4/9/22 11:51AM] Quiet used command ::event | Player rights = DEVELOPER	
[4/9/22 11:51AM] Quiet used command ::eventzone | Player rights = DEVELOPER	
[4/9/22 11:51AM] Quiet used command ::afk | Player rights = DEVELOPER	
[4/9/22 11:51AM] Quiet used command ::event | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2074 4466 | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2080 4452 | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2090 4443 | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2079 4453 | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2075 4465 | Player rights = DEVELOPER	
[4/9/22 11:52AM] Quiet used command ::tele 2073 4466 | Player rights = DEVELOPER	
[4/9/22 11:55AM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 11:55AM] Quiet used command ::tele 2077 4461 | Player rights = DEVELOPER	
[4/9/22 11:55AM] Quiet used command ::tele 2074 4464 | Player rights = DEVELOPER	
[4/9/22 11:58AM] Quiet used command ::item 23119 | Player rights = DEVELOPER	
[4/9/22 11:58AM] Quiet used command ::item 23090 | Player rights = DEVELOPER	
[4/9/22 12:03PM] Quiet used command ::raidparty | Player rights = DEVELOPER	
[4/9/22 12:03PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 12:03PM] Quiet used command ::raid | Player rights = DEVELOPER	
[4/9/22 12:03PM] Quiet used command ::tele 2702 2730 | Player rights = DEVELOPER	
[4/9/22 12:03PM] Quiet used command ::tele 2726 2735 | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::tele 2718 2730 | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::tele 2710 2736 | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::startraids | Player rights = DEVELOPER	
[4/9/22 12:04PM] Quiet used command ::requestraid | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2724 2737 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2712 2720 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2717 2716 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2722 2725 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2725 2733 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2725 2736 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::tele 2723 2737 | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::startraid | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::deleteparty | Player rights = DEVELOPER	
[4/9/22 12:05PM] Quiet used command ::requestparty | Player rights = DEVELOPER	
[4/9/22 12:06PM] Quiet used command ::requestraid | Player rights = DEVELOPER	
[4/9/22 12:06PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:06PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:07PM] Quiet used command ::startraids | Player rights = DEVELOPER	
[4/9/22 12:07PM] Quiet used command ::god | Player rights = DEVELOPER	
[4/9/22 12:07PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:09PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:09PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::tele 2715 2735 | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::Createparty | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::tele 2711 2737 | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::tele 2720 2738 | Player rights = DEVELOPER	
[4/9/22 12:10PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:12PM] Quiet used command ::interface 120000 | Player rights = DEVELOPER	
[4/9/22 12:12PM] Quiet used command ::home | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::tele 2702 2730 | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::tele 2707 2727 | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::tele 2711 2734 | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::tele 2721 2740 | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::tele 2724 2738 | Player rights = DEVELOPER	
[4/9/22 12:13PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 12:14PM] Quiet used command ::Startraid | Player rights = DEVELOPER	
[4/9/22 12:14PM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 12:16PM] Quiet used command ::npc 8549 | Player rights = DEVELOPER	
[4/9/22 12:18PM] Quiet used command ::item 23144 | Player rights = DEVELOPER	
[4/9/22 12:18PM] Quiet used command ::item 23145 | Player rights = DEVELOPER	
[4/9/22 12:18PM] Quiet used command ::item 23146 | Player rights = DEVELOPER	
[4/9/22 12:19PM] Quiet used command ::item 23145 | Player rights = DEVELOPER	
[4/9/22 12:19PM] Quiet used command ::home | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::tele 2078 4446 | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::tele 2079 4430 | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::tele 2080 4414 | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::tele 2076 4420 | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::tele 2078 4423 | Player rights = DEVELOPER	
[4/9/22 12:20PM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 12:23PM] Quiet used command ::tele 1946 5015 | Player rights = DEVELOPER	
[4/9/22 12:23PM] Quiet used command ::tele 1937 5022 | Player rights = DEVELOPER	
[4/9/22 12:24PM] Quiet used command ::tele 2077 4456 | Player rights = DEVELOPER	
[4/9/22 12:24PM] Quiet used command ::tele 2076 4446 | Player rights = DEVELOPER	
[4/9/22 12:24PM] Quiet used command ::tele 2076 4437 | Player rights = DEVELOPER	
[4/9/22 12:24PM] Quiet used command ::tele 2076 4428 | Player rights = DEVELOPER	
[4/9/22 12:25PM] Quiet used command ::id raids | Player rights = DEVELOPER	
[4/9/22 12:25PM] Quiet used command ::item 18404 | Player rights = DEVELOPER	
[4/9/22 12:25PM] Quiet used command ::item 13591 | Player rights = DEVELOPER	
[4/9/22 12:25PM] Quiet used command ::tele 2078 4421 | Player rights = DEVELOPER	
[4/9/22 12:32PM] Quiet used command ::global | Player rights = DEVELOPER	
[4/9/22 12:34PM] Quiet used command ::id strick | Player rights = DEVELOPER	
[4/9/22 12:34PM] Quiet used command ::id vindicta s | Player rights = DEVELOPER	
[4/9/22 12:34PM] Quiet used command ::item 17600 | Player rights = DEVELOPER	
[4/9/22 12:52PM] Quiet used command ::anim 1818 | Player rights = DEVELOPER	
[4/9/22 12:52PM] Quiet used command ::anim 827 | Player rights = DEVELOPER	
[4/9/22 12:52PM] Quiet used command ::gfx 1322 | Player rights = DEVELOPER	
[4/9/22 12:52PM] Quiet used command ::::object 1 | Player rights = DEVELOPER	
[4/9/22 12:52PM] Quiet used command ::object 173 | Player rights = DEVELOPER	
[4/9/22 12:53PM] Quiet used command ::interface 8144 | Player rights = DEVELOPER	
[4/9/22 12:53PM] Quiet used command ::id raids | Player rights = DEVELOPER	
[4/9/22 12:53PM] Quiet used command ::item 13591 1000 | Player rights = DEVELOPER	
[4/9/22 12:55PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::tele 2702 2730 | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::tele 2708 2738 | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::tele 2722 2738 | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::tele 2723 2737 | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::Createparty | Player rights = DEVELOPER	
[4/9/22 12:56PM] Quiet used command ::deleteparty | Player rights = DEVELOPER	
[4/9/22 01:23PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 01:23PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 01:29PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 01:29PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 01:30PM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/9/22 01:30PM] Quiet used command ::startraid | Player rights = DEVELOPER	
[4/9/22 01:38PM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/9/22 01:41PM] Quiet used command ::interface 48500 | Player rights = DEVELOPER	
[4/9/22 01:41PM] Quiet used command ::opensale | Player rights = DEVELOPER	
[4/9/22 01:42PM] Quiet used command ::item 6542 | Player rights = DEVELOPER	
[4/9/22 01:56PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/9/22 01:57PM] Quiet used command ::corods | Player rights = DEVELOPER	
[4/9/22 01:57PM] Quiet used command ::corods | Player rights = DEVELOPER	
[4/9/22 01:57PM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/10/22 12:25AM] Quiet used command ::interface 29050 | Player rights = DEVELOPER	
[4/10/22 12:27AM] Quiet used command ::Createparty | Player rights = DEVELOPER	
[4/10/22 12:38AM] Quiet used command ::Coords | Player rights = DEVELOPER	
[4/10/22 12:41AM] Quiet used command ::tele 2083 4464 | Player rights = DEVELOPER	
[4/10/22 12:42AM] Quiet used command ::id aspect token | Player rights = DEVELOPER	
[4/10/22 12:43AM] Quiet used command ::createparty | Player rights = DEVELOPER	
[4/10/22 12:43AM] Quiet used command ::Startraid | Player rights = DEVELOPER	
[4/10/22 12:44AM] Quiet used command ::item 12158 | Player rights = DEVELOPER	
[4/10/22 12:49AM] Quiet used command ::id raids | Player rights = DEVELOPER	
[4/10/22 12:49AM] Quiet used command ::tele 2075 4441 | Player rights = DEVELOPER	
[4/10/22 12:49AM] Quiet used command ::tele 2077 4423 | Player rights = DEVELOPER	
[4/10/22 12:49AM] Quiet used command ::item 13591 100 | Player rights = DEVELOPER	
[4/10/22 12:52AM] Quiet used command ::event | Player rights = DEVELOPER	
[4/10/22 12:53AM] Quiet used command ::customevent | Player rights = DEVELOPER	
[4/10/22 12:53AM] Quiet used command ::eventboss | Player rights = DEVELOPER	
[4/10/22 12:55AM] Quiet used command ::x2vote | Player rights = DEVELOPER	
[4/10/22 12:55AM] Quiet used command ::x2vote 50 | Player rights = DEVELOPER	
[4/10/22 12:56AM] Quiet used command ::host quiet | Player rights = DEVELOPER	
[4/10/22 12:59AM] Quiet used command ::customevent | Player rights = DEVELOPER	
[4/10/22 01:02AM] Quiet used command ::customevent | Player rights = DEVELOPER	
[4/10/22 01:03AM] Quiet used command ::upgrade | Player rights = DEVELOPER	
[4/10/22 12:41PM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/10/22 12:41PM] Quiet used command ::kill quiet | Player rights = DEVELOPER	
[4/11/22 09:49PM] Quiet used command ::raids | Player rights = DEVELOPER	
[4/11/22 09:49PM] Quiet used command ::Createparty | Player rights = DEVELOPER	
[4/11/22 09:49PM] Quiet used command ::coords | Player rights = DEVELOPER	
[4/11/22 09:50PM] Quiet used command ::startraids | Player rights = DEVELOPER	
[4/11/22 09:50PM] Quiet used command ::good | Player rights = DEVELOPER	
[4/11/22 09:50PM] Quiet used command ::god | Player rights = DEVELOPER	
[4/11/22 09:50PM] Quiet used command ::id cleric staff | Player rights = DEVELOPER	
[4/11/22 09:50PM] Quiet used command ::item 23145 | Player rights = DEVELOPER	
[4/14/22 09:00PM] Quiet used command ::ITEM 24000 | Player rights = DEVELOPER	
[4/14/22 09:00PM] Quiet used command ::item 2400 | Player rights = DEVELOPER	
[4/14/22 09:00PM] Quiet used command ::item 24000 | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::item 24000 | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::bank | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::id morningstar b | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::item 22102 | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::item 22013 | Player rights = DEVELOPER	
[4/14/22 09:02PM] Quiet used command ::item 22103 | Player rights = DEVELOPER	
